,PUMA_y,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",44105.0,259365.80000000002,509.2796874017263,837.7650857758397,43267.23491422416,44942.76508577584
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,41953.0,289711.8,538.2488272165579,885.4193207712377,41067.58067922876,42838.41932077124
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",32144.0,302625.45,550.1140336330278,904.9375853263308,31239.06241467367,33048.937585326334
25,300,Southeast Oklahoma PUMA,30197.0,65815.90000000001,256.5460972223121,422.0183299307034,29774.981670069297,30619.018329930703
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,29259.0,343292.0,585.911256078939,963.8240162498547,28295.175983750145,30222.824016249855
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,28955.0,261552.1,511.4216460025915,841.2886076742631,28113.71139232574,29796.28860767426
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,28662.0,364816.9,604.0007450326531,993.5812255787143,27668.418774421287,29655.581225578713
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,27520.0,707657.7000000001,841.2239297594904,1383.8133644543616,26136.186635545637,28903.813364454363
23,100,Northeast Oklahoma PUMA,27393.0,96466.25,310.59016404258523,510.9208198500527,26882.079180149947,27903.920819850053
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,26709.0,221362.30000000002,470.49155146506087,773.9586021600252,25935.041397839974,27482.958602160026
11,800,Canadian County--Oklahoma City (West) PUMA,25251.0,155007.6,393.7100455919305,647.6530249987256,24603.346975001274,25898.653024998726
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,24907.0,556398.75,745.9214100694522,1227.040719564249,23679.959280435753,26134.040719564247
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",24364.0,102040.55,319.4378656327393,525.4752889658562,23838.524711034144,24889.475288965856
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",23320.0,156535.65,395.6458643787396,650.8374469030266,22669.162553096972,23970.837446903028
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",22206.0,75612.25,274.9768172046509,452.33686430165073,21753.66313569835,22658.33686430165
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",22196.0,116300.90000000001,341.02917763733944,560.9929972134233,21635.007002786577,22756.992997213423
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",21868.0,250251.35,500.25128685491654,822.9133668763377,21045.08663312366,22690.91336687634
20,500,Panhandle & Northwest Oklahoma PUMA,21305.0,79173.0,281.3769713391627,462.86511785292265,20842.13488214708,21767.86511785292
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,21177.0,74617.5,273.16203982252,449.3515555080454,20727.648444491955,21626.351555508045
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",20912.0,61869.450000000004,248.73570310673136,409.1702316105731,20502.829768389427,21321.170231610573
3,400,Southwest Oklahoma PUMA,19684.0,131957.05000000002,363.2589296906547,597.560939341127,19086.43906065887,20281.56093934113
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",19350.0,84774.55,291.160694462697,478.95934239113654,18871.040657608864,19828.959342391136
4,601,Comanche County (Central)--Lawton City PUMA,19169.0,140070.4,374.2598028108282,615.6573756238124,18553.342624376186,19784.657375623814
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",19077.0,95259.8,308.6418636543008,507.7158657113248,18569.284134288675,19584.715865711325
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",18933.0,86120.70000000001,293.4632856082682,482.74710482560124,18450.2528951744,19415.7471048256
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",18864.0,101846.0,319.1332010305415,524.9741156952408,18339.02588430476,19388.97411569524
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,17923.0,368080.80000000005,606.6966292967187,998.0159551931023,16924.984044806897,18921.015955193103
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",16256.0,80783.45000000001,284.2242952317764,467.5489656562722,15788.451034343729,16723.54896565627
