,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",32767,274623.35000000003,524.0451793500251,862.0543200307914,31904.94567996921,33629.054320030795
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,31645,179862.40000000002,424.1018745537445,697.6475836409097,30947.352416359092,32342.647583640908
25,300,Southeast Oklahoma PUMA,30074,129397.15000000001,359.7181535591441,591.7363626047921,29482.26363739521,30665.73636260479
23,100,Northeast Oklahoma PUMA,28761,86696.45000000001,294.44260900895443,484.3580918197301,28276.64190818027,29245.35809181973
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",24342,133733.7,365.6961853779719,601.5702249467638,23740.429775053235,24943.570224946765
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,24197,139279.05000000002,373.2010852074254,613.9157851662148,23583.084214833783,24810.915785166217
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",23592,200461.95,447.72977341249043,736.5154772635468,22855.484522736453,24328.515477263547
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,22974,302497.05,549.9973181752798,904.7455883983353,22069.254411601665,23878.745588398335
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",20185,109691.0,331.1963164046364,544.8179404856269,19640.182059514373,20729.817940485627
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",19838,120979.40000000001,347.8209309400456,572.1654313963751,19265.834568603626,20410.165431396374
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",19507,142753.45,377.82727535211114,621.5258679542228,18885.474132045776,20128.525867954224
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",18625,97815.40000000001,312.75453633800424,514.481212276017,18110.518787723984,19139.481212276016
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",18419,160937.45,401.1701010793302,659.9248162754982,17759.0751837245,19078.9248162755
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",17511,80375.8,283.5062609537927,466.367799268989,17044.632200731012,17977.367799268988
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,17330,175135.85,418.49235357411254,688.4199216294152,16641.580078370585,18018.419921629415
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",16637,79428.6,281.8308003040122,463.61166650010006,16173.388333499899,17100.6116665001
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",16430,78689.70000000001,280.5168444140209,461.4502090610644,15968.549790938936,16891.450209061066
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",16425,101101.0,317.96383442146373,523.0505076233078,15901.949492376692,16948.05050762331
20,500,Panhandle & Northwest Oklahoma PUMA,16274,110218.3,331.99141555166756,546.1258785824931,15727.874121417506,16820.125878582494
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,15842,98482.40000000001,313.81905614541637,516.2323473592099,15325.76765264079,16358.23234735921
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,15434,175149.25,418.50836311834917,688.4462573296844,14745.553742670316,16122.446257329684
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",15177,95970.40000000001,309.79089721939863,509.6060259259107,14667.39397407409,15686.60602592591
11,800,Canadian County--Oklahoma City (West) PUMA,14913,187468.30000000002,432.97609633789256,712.2456784758333,14200.754321524168,15625.245678475832
3,400,Southwest Oklahoma PUMA,14817,130456.85,361.1881088851071,594.1544391160012,14222.845560884,15411.154439116
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,14620,146374.25,382.5888785628772,629.358705235933,13990.641294764067,15249.358705235933
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,13439,196622.30000000002,443.42113165702875,729.4277615758123,12709.572238424187,14168.427761575813
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,10927,110170.0,331.9186647358054,546.0062034903999,10380.9937965096,11473.0062034904
4,601,Comanche County (Central)--Lawton City PUMA,10916,153676.7,392.01619864490294,644.8666467708654,10271.133353229136,11560.866646770864
