,PUMA,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
25,300,Southeast Oklahoma PUMA,18973,201271.45,448.63286772148115,738.0010674018365,18234.998932598162,19711.001067401838
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,16893,445880.05000000005,667.7425027658492,1098.4364170498218,15794.563582950179,17991.436417049823
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",16153,533763.1,730.5909252105449,1201.8220719713463,14951.177928028654,17354.822071971346
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",14695,606508.55,778.786588225555,1281.103937631038,13413.896062368962,15976.103937631038
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",14483,356198.75,596.8238852458906,981.77529122949,13501.224708770511,15464.775291229489
23,100,Northeast Oklahoma PUMA,14090,195173.55000000002,441.78450629237784,726.7355128509615,13363.26448714904,14816.73551285096
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,12142,219742.65000000002,468.76715968591486,771.12197768333,11370.87802231667,12913.12197768333
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",11529,306157.75,553.3152356478176,910.20356264066,10618.79643735934,12439.20356264066
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",11484,224611.7,473.9321681422353,779.618416593977,10704.381583406022,12263.618416593978
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,11066,367950.15,606.5889464868281,997.8388169708323,10068.161183029168,12063.838816970832
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",11052,184406.65000000002,429.42595403631583,706.4056943897396,10345.59430561026,11758.40569438974
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,10425,395761.05000000005,629.0954220148164,1034.8619692143732,9390.138030785627,11459.861969214373
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,9947,222812.25,472.0299248988352,776.4892264585839,9170.510773541417,10723.489226458583
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",9920,240617.7,490.52798085328425,806.9185285036526,9113.081471496347,10726.918528503653
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,9401,236844.40000000002,486.6666210045641,800.5665915525079,8600.433408447492,10201.566591552508
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",9160,141191.9,375.7551064190612,618.1171500593556,8541.882849940645,9778.117150059355
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",8487,150082.85,387.40527874565674,637.2816835366053,7849.718316463394,9124.281683536605
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,8400,317097.35000000003,563.11397602972,926.3224905688894,7473.677509431111,9326.32249056889
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",8239,199203.30000000002,446.3219689865154,734.1996389828179,7504.800361017182,8973.199638982818
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",8201,252243.95,502.23893716039186,826.1830516288446,7374.816948371155,9027.183051628845
4,601,Comanche County (Central)--Lawton City PUMA,8002,337397.10000000003,580.8589329604908,955.5129447200075,7046.487055279993,8957.512944720007
3,400,Southwest Oklahoma PUMA,7634,159280.2,399.09923577977446,656.518242857729,6977.481757142271,8290.518242857728
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",7427,171235.85,413.8065369227509,680.7117532379252,6746.288246762075,8107.711753237925
20,500,Panhandle & Northwest Oklahoma PUMA,7234,163101.80000000002,403.858638634857,664.3474605543398,6569.65253944566,7898.34746055434
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",6481,117426.20000000001,342.67506474793294,563.7004815103497,5917.29951848965,7044.70048151035
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,5901,291497.25,539.9048527287007,888.1434827387127,5012.856517261287,6789.143482738713
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,4792,91465.35,302.4323891384651,497.5012801327751,4294.498719867225,5289.501280132775
11,800,Canadian County--Oklahoma City (West) PUMA,4034,146113.35,382.24775996727567,628.7975651461685,3405.2024348538316,4662.797565146168
