,PUMA_y,NAMELSAD10,estimate,variance,standard-error,moe-90,ci-90-lower,ci-90-upper
17,900,"Cleveland County--Norman, Oklahoma City (South) & Moore Cities PUMA",44819,3185252.3000000003,1784.7275142161059,2935.876760885494,41883.1232391145,47754.8767608855
16,1202,Tulsa County (Southeast)--Tulsa (Southeast) & Broken Arrow (West) Cities PUMA,41879,1165283.8,1079.48311705186,1775.74972755031,40103.25027244969,43654.74972755031
5,1204,"Tulsa (West), Creek (Northeast) & Osage (Southeast) Counties--Tulsa City (West) PUMA",31193,1356255.7000000002,1164.5839171137477,1915.740543652115,29277.259456347885,33108.740543652115
25,300,Southeast Oklahoma PUMA,30250,801903.65,895.4907313869865,1473.0822531315928,28776.917746868407,31723.082253131593
15,1201,Tulsa County (Central)--Tulsa City (Central) PUMA,28357,889443.3500000001,943.1030431506412,1551.4045059828047,26805.595494017194,29908.404505982806
23,100,Northeast Oklahoma PUMA,27140,791328.9,889.5666922721422,1463.337208787674,25676.662791212326,28603.337208787674
14,1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,26578,1493205.5,1221.9678801016007,2010.1371627671333,24567.862837232868,28588.137162767132
6,1203,Tulsa County (North)--Tulsa (North) & Owasso Cities PUMA,25901,871867.4500000001,933.7384269697804,1535.9997123652888,24365.00028763471,27436.99971236529
13,1002,Oklahoma County (Northwest)--Oklahoma City (Northwest Central) & Bethany Cities PUMA,25811,1944910.4000000001,1394.6004445718495,2294.1177313206927,23516.882268679306,28105.117731320694
10,1302,"Muskogee, Okmulgee, Wagoner (East) & McIntosh Counties PUMA",23450,1110090.05,1053.6081102573196,1733.1853413732908,21716.81465862671,25183.18534137329
11,800,Canadian County--Oklahoma City (West) PUMA,23209,1103542.1500000001,1050.496144685929,1728.0661580083533,21480.933841991646,24937.066158008354
1,1005,Oklahoma County (Southeast)--Oklahoma City (East Central) PUMA,23072,1645418.1500000001,1282.7385353219884,2110.104890604671,20961.89510939533,25182.10489060467
9,1301,Rogers (Central) & Wagoner (West) Counties--Claremore City PUMA,22455,563437.15,750.6245066609537,1234.7773134572687,21220.222686542733,23689.777313457267
0,1001,Oklahoma County (Southwest)--Oklahoma City (West Central) PUMA,21827,1335091.7000000002,1155.4616826186839,1900.734467907735,19926.265532092264,23727.734467907736
7,1102,"Pottawatomie (North), Logan & Lincoln Counties--Shawnee City PUMA",21531,857727.5,926.1357891799669,1523.4933732010456,20007.506626798953,23054.493373201047
21,1400,"Garfield, Kay & Noble Counties--Enid City PUMA",20976,857790.05,926.1695579104293,1523.548922762656,19452.451077237343,22499.548922762657
19,1004,"Oklahoma County (East)--Midwest, Del & Oklahoma City (Northeast) Cities PUMA",20950,998262.2000000001,999.1307221780341,1643.570037982866,19306.429962017133,22593.570037982867
8,1501,"Payne, Seminole, Creek (Southwest), Hughes & Okfuskee Counties--Stillwater City PUMA",20696,928135.4500000001,963.3978669272628,1584.7894910953473,19111.210508904653,22280.789491095347
20,500,Panhandle & Northwest Oklahoma PUMA,20198,942745.8500000001,970.9510028832557,1597.2143997429557,18600.785600257044,21795.214399742956
26,702,"Bryan, Pontotoc (East), Marshall, Atoka, Johnston & Coal Counties--Ada City PUMA",18918,623995.75,789.9340162317357,1299.4414567012052,17618.558543298794,20217.441456701206
2,602,"Stephens, Caddo, Comanche (North), Tillman, Jefferson & Cotton Counties PUMA",18330,839141.3,916.0465599520584,1506.896591121136,16823.103408878866,19836.896591121134
22,1601,"Washington, Osage (North & West), Pawnee & Creek (Northwest) Counties PUMA",17917,549481.1,741.2699238469074,1219.3890247281627,16697.610975271837,19136.389024728163
12,1101,"Grady, McClain & Pottawatomie (South) Counties PUMA",17796,620588.65,787.774491843954,1295.8890390833044,16500.110960916696,19091.889039083304
4,601,Comanche County (Central)--Lawton City PUMA,17685,1132810.6,1064.3357552952923,1750.8323174607558,15934.167682539244,19435.832317460758
3,400,Southwest Oklahoma PUMA,17613,1373279.35,1171.8700226560966,1927.7261872692789,15685.27381273072,19540.72618726928
24,200,"Cherokee, Sequoyah & Adair Counties PUMA",17363,630361.2000000001,793.95289532818,1306.052512814856,16056.947487185143,18669.052512814855
27,701,"Carter, Garvin, Murray, Love & Pontotoc (West) Counties PUMA",17195,487624.5,698.3011527987047,1148.7053963538692,16046.29460364613,18343.70539635387
18,1006,Oklahoma County (Central)--Oklahoma City (Central) PUMA,16006,1692735.8,1301.051805271412,2140.2302196714727,13865.769780328526,18146.230219671474
